Unnamed: 0_y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CAISSE,1.72,2.84,2.52,3.04,2.93,2.48,2.72,3.33,2.83,2.93,2.85,2.76,2.72,2.75,2.56,2.27,1.99,1.77
-Avue,10.97,10.64,13.26,13.78,13.56,11.90,11.63,11.27,11.54,12.62,12.33,12.15,10.95,9.93,10.41,10.04,9.71,7.03
.BanquesCentrales,5.00,4.80,7.66,9.05,9.93,7.49,7.06,7.17,8.06,8.79,8.36,8.79,6.18,5.75,6.04,6.25,5.21,3.57
".TrésorPublic,CCP",1.31,0.12,0.25,0.31,0.20,0.12,0.15,0.18,0.26,0.12,0.08,0.08,0.05,0.12,0.05,0.08,0.09,0.07
.Autresétablissementsdecrédit,5.15,5.71,5.35,4.41,3.44,4.29,4.41,3.92,3.23,3.72,3.89,3.28,4.72,4.06,4.32,3.71,4.41,3.39
-Aterme,7.48,8.57,7.94,6.61,6.78,5.71,6.22,6.91,5.82,5.41,5.22,4.54,5.20,4.51,3.27,3.63,3.14,4.45
CREANCESSURLACLIENTELE,54.05,58.56,58.92,58.99,59.58,61.85,60.41,58.05,57.54,56.16,55.07,54.08,53.82,54.86,53.64,52.13,50.96,53.06
TITRESDEPLACEMENT,6.41,6.89,5.88,6.30,6.63,6.87,8.29,9.41,9.42,10.55,13.40,14.81,15.83,17.13,19.54,21.05,22.99,22.24
IMMOBILISATIONSFINANCIERES,3.50,2.82,2.63,2.34,2.22,2.24,2.02,2.38,2.62,3.47,2.70,3.21,3.44,3.20,3.22,3.43,3.60,3.48
CREDIT-BAILETOPERATIONSASSIMILEES,0.41,0.09,0.11,0.21,0.27,0.30,0.32,0.35,0.36,0.31,0.30,0.25,0.39,0.29,0.32,0.33,0.36,0.42
IMMOBILISATIONSINCORPORELLES,0.40,0.34,0.32,0.30,0.37,0.45,0.47,0.38,0.35,0.31,0.28,0.27,0.24,0.22,0.18,0.20,0.19,0.19
IMMOBILISATIONSCORPORELLES,2.62,3.11,3.27,3.38,3.28,3.59,3.66,3.80,4.07,3.96,3.90,3.66,3.51,3.36,3.15,3.13,3.08,3.03
AUTRESACTIFS,3.82,3.96,3.60,3.66,3.01,3.19,2.77,2.72,2.65,2.33,2.43,2.55,2.61,2.40,2.34,2.60,2.71,2.65
-Avue,6.01,5.75,3.61,3.61,3.68,3.29,3.88,4.24,3.58,3.09,3.40,4.45,4.09,4.20,4.61,4.26,4.75,4.02
-Aterme,8.29,8.37,5.45,4.51,4.54,4.47,5.10,6.42,9.55,7.60,8.12,8.53,11.01,14.25,15.66,16.98,20.01,19.84
-Comptesd'épargneàvue,12.43,12.61,13.22,13.57,13.64,14.31,13.29,13.15,12.90,12.84,12.51,12.13,11.90,11.36,10.96,10.66,9.98,9.92
-Comptesd'épargneàterme,3.11,2.81,2.28,2.30,2.94,2.67,2.22,1.05,1.34,2.01,1.84,1.68,1.61,1.54,1.43,1.52,1.51,1.51
-Autresdettesàvue,34.63,34.81,37.69,40.14,38.82,38.63,38.63,39.43,37.00,36.60,36.40,37.87,36.63,35.37,34.80,35.60,34.59,34.28
-Autresdettesàterme,18.93,19.12,21.82,20.17,20.28,20.43,20.99,21.07,20.38,22.37,22.18,20.59,20.36,19.43,20.02,19.30,17.72,17.75
DETTESREPRESENTEESPARUNTITRE,0.83,0.82,0.74,0.79,0.44,0.33,0.32,0.18,0.15,0.23,0.18,0.16,0.32,0.27,0.18,0.14,0.10,0.10
AUTRESPASSIFS,2.05,2.45,1.88,1.87,2.16,1.93,2.11,1.98,1.95,2.02,1.90,1.83,1.66,1.58,1.51,1.42,1.33,1.40
PROVISIONSPOURRISQUESETCHARGES,0.74,0.64,0.59,0.72,0.76,0.84,0.86,0.76,0.89,0.81,0.72,0.68,0.72,0.71,0.73,0.70,0.61,0.59
PROVISIONSREGLEMENTEES,0.13,0.22,0.04,0.04,0.02,0.02,0.03,0.04,0.04,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00
EMPRUNTSETTITRESEMISSUBORDONNES,0.16,0.09,0.18,0.17,0.19,0.28,0.23,0.24,0.21,0.18,0.18,0.28,0.32,0.36,0.43,0.40,0.37,0.39
CAPITALOUDOTATIONS,4.56,4.91,4.92,4.83,4.67,4.85,4.82,4.82,5.19,5.89,6.13,6.10,5.92,5.53,4.60,4.48,4.49,4.54
RESERVES,2.73,2.74,2.87,2.96,3.10,3.27,3.21,2.99,2.72,2.69,2.59,2.45,2.43,2.33,2.18,2.06,1.78,1.89
Deposits/Dépôts,15.54,15.42,15.49,15.87,16.58,16.98,15.51,14.20,14.24,14.85,14.35,13.81,13.52,12.90,12.39,12.18,11.49,11.43
Capital+Reserves,7.30,7.65,7.79,7.78,7.77,8.13,8.04,7.81,7.91,8.58,8.72,8.55,8.34,7.86,6.79,6.54,6.27,6.43
Creances Interbancaires(A vue et A terme),18.46,19.21,21.20,20.38,20.34,17.61,17.86,18.18,17.37,18.03,17.55,16.69,16.15,14.44,13.68,13.67,12.85,11.48
Dettes Interbancaires(A vue et A terme),14.30,14.12,9.06,8.12,8.22,7.76,8.98,10.66,13.13,10.70,11.52,12.98,15.10,18.45,20.27,21.24,24.76,23.86
Autres Dettes (A vue et A terme),53.57,53.92,59.51,60.31,59.10,59.05,59.62,60.50,57.39,58.98,58.58,58.46,57.00,54.80,54.82,54.90,52.31,52.03
"CAISSE, BANQUES CENTRALE, CCP",8.04,7.76,10.43,12.40,13.05,10.09,9.94,10.67,11.14,11.84,11.29,11.63,8.95,8.62,8.65,8.60,7.29,5.41
TOTALDEL'ACTIF,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
