Date,CAISSE,-Avue,.BanquesCentrales,".TrésorPublic,CCP",.Autresétablissementsdecrédit,-Aterme,CREANCESSURLACLIENTELE,TITRESDEPLACEMENT,IMMOBILISATIONSFINANCIERES,CREDIT-BAILETOPERATIONSASSIMILEES,IMMOBILISATIONSINCORPORELLES,IMMOBILISATIONSCORPORELLES,AUTRESACTIFS,-Avue,-Aterme,-Comptesd'épargneàvue,-Comptesd'épargneàterme,-Autresdettesàvue,-Autresdettesàterme,DETTESREPRESENTEESPARUNTITRE,AUTRESPASSIFS,PROVISIONSPOURRISQUESETCHARGES,PROVISIONSREGLEMENTEES,EMPRUNTSETTITRESEMISSUBORDONNES,CAPITALOUDOTATIONS,RESERVES,Deposits/Dépôts,Capital+Reserves,Creances Interbancaires(A vue et A terme),Dettes Interbancaires(A vue et A terme),Autres Dettes (A vue et A terme),"CAISSE, BANQUES CENTRALE, CCP",TOTALDEL'ACTIF
2000,2.04,12.45,3.16,0.58,8.7,6.18,51.93,14.46,3.92,0.0,0.55,3.95,2.94,7.37,5.84,14.09,0.0,30.58,28.04,0.0,1.3,1.18,0.0,0.0,4.81,2.71,14.09,7.52,18.63,13.21,58.62,5.78,100.0
2001,2.58,10.63,4.74,0.15,5.74,9.08,52.06,11.73,4.29,0.0,0.47,3.64,3.6,6.32,6.03,14.1,0.0,33.58,25.88,0.0,2.34,0.94,0.0,0.0,4.33,2.76,14.1,7.09,19.71,12.35,59.46,7.47,100.0
2002,2.4,8.73,3.92,0.24,4.58,9.37,56.88,9.89,3.99,0.0,0.43,3.75,3.52,0.96,5.89,15.12,0.05,36.42,27.67,0.0,1.95,0.57,0.0,0.13,4.32,2.85,15.18,7.17,18.11,6.85,64.08,6.55,100.0
2003,2.55,11.66,7.6,0.42,3.63,8.57,55.27,10.06,3.06,0.0,0.34,4.2,3.16,2.71,5.89,14.75,0.08,36.85,26.55,0.0,2.15,0.62,0.0,0.11,3.66,2.81,14.83,6.47,20.23,8.59,63.4,10.57,100.0
2004,2.82,9.68,6.88,0.35,2.45,9.02,58.43,9.38,2.39,0.0,0.46,3.95,2.77,3.75,3.93,15.09,0.08,35.2,28.01,0.0,2.52,0.63,0.0,0.1,3.79,2.91,15.17,6.7,18.7,7.68,63.21,10.05,100.0
2005,2.42,7.52,4.21,0.24,3.08,5.65,68.14,4.81,3.01,0.42,0.52,4.03,2.29,2.41,9.18,14.34,0.11,32.63,26.05,0.0,2.76,0.79,0.0,0.81,4.36,3.38,14.45,7.74,13.17,11.59,58.68,6.87,100.0
2006,2.33,8.72,5.14,0.14,3.43,6.58,68.13,3.96,2.35,0.05,0.5,3.76,1.9,2.08,6.05,14.16,1.5,33.01,26.69,0.16,2.87,0.78,0.0,0.5,4.24,3.29,15.66,7.53,15.29,8.12,59.7,7.61,100.0
2007,3.05,12.29,6.76,0.3,5.24,7.17,59.32,6.95,3.5,0.04,0.33,4.05,2.23,3.47,5.2,13.51,1.86,35.58,25.99,0.17,2.42,0.64,0.0,0.43,4.33,3.04,15.37,7.37,19.46,8.67,61.57,10.11,100.0
2008,2.28,10.0,7.69,0.16,2.16,6.62,55.05,6.99,3.66,0.02,0.24,3.6,2.13,3.43,7.95,11.71,1.97,31.5,23.61,0.1,1.66,0.52,0.0,0.5,4.65,2.31,13.68,6.96,16.62,11.38,55.11,10.13,100.0
2009,2.47,11.34,8.31,0.2,2.83,7.65,53.47,12.21,4.08,0.0,0.15,3.59,2.07,1.87,9.27,12.83,1.54,33.68,26.95,0.3,1.7,0.54,0.0,0.47,6.87,2.3,14.37,9.16,18.99,11.14,60.62,10.98,100.0
2010,2.16,10.13,6.09,0.33,3.64,5.39,51.4,19.31,3.11,0.0,0.19,3.32,2.92,3.15,9.56,12.34,0.62,32.49,28.62,0.18,1.65,0.3,0.0,0.12,6.62,1.8,12.95,8.41,15.52,12.7,61.11,8.58,100.0
2011,1.95,9.34,6.32,0.26,2.75,4.29,54.24,19.16,4.45,0.0,0.14,2.87,2.24,3.75,10.7,11.78,0.6,34.57,25.28,0.36,1.88,0.25,0.01,0.0,5.97,1.79,12.38,7.75,13.62,14.45,59.85,8.53,100.0
2012,2.19,7.41,4.39,0.2,2.81,5.75,54.01,20.4,4.52,0.0,0.09,2.51,2.45,3.24,11.96,11.48,0.58,33.23,26.07,0.43,2.1,0.22,0.0,0.24,5.01,1.74,12.07,6.75,13.16,15.2,59.3,6.78,100.0
2013,1.97,6.22,3.52,0.18,2.52,4.45,57.76,20.68,3.46,0.0,0.06,2.58,2.14,3.26,15.82,11.13,0.53,32.23,25.13,0.27,1.39,0.21,0.0,0.19,4.77,1.84,11.67,6.61,10.67,19.08,57.36,5.67,100.0
2014,1.71,5.88,3.23,0.16,2.49,2.27,59.86,21.98,2.41,0.01,0.06,2.48,1.92,4.54,19.9,11.11,0.51,28.41,23.88,0.17,1.0,0.2,0.0,0.35,4.06,1.87,11.62,5.93,8.16,24.45,52.29,5.1,100.0
2015,1.7,6.16,3.37,0.07,2.72,4.37,54.42,23.86,3.62,0.01,0.07,2.39,2.29,3.51,21.48,11.02,0.54,28.88,23.74,0.1,1.13,0.28,0.0,0.25,3.78,1.92,11.56,5.7,10.54,24.99,52.62,5.14,100.0
2016,1.57,7.45,2.91,0.09,4.45,4.08,49.55,27.99,3.28,0.01,0.06,2.37,2.27,4.97,21.87,10.43,0.44,28.97,22.05,0.05,0.92,0.2,0.0,0.21,3.55,1.92,10.87,5.47,11.53,26.84,51.01,4.58,100.0
2017,1.39,7.44,3.07,0.14,4.23,5.43,50.14,26.7,2.37,0.01,0.08,2.32,2.41,4.4,20.24,10.21,0.42,30.58,22.93,0.02,0.92,0.26,0.0,0.18,3.52,1.83,10.63,5.35,12.87,24.64,53.51,4.6,100.0
